text,course_content,teaching_quality,assessment,resources,infrastructure,clean_text,detected_course_content,detected_teaching_quality,detected_assessment,detected_resources,detected_infrastructure
The syllabus is very well structured and covers all important topics.,positive,none,none,none,none,syllabus well structured cover important topic,True,False,False,False,True
Course material is up to date and highly relevant to industry.,positive,none,none,none,none,course material date highly relevant industry,True,False,False,True,False
Topics are explained in great depth with real-world examples.,positive,none,none,none,none,topic explained great depth realworld example,True,True,True,False,False
"The curriculum is excellent, very comprehensive.",positive,none,none,none,none,curriculum excellent comprehensive,True,False,False,False,False
"Course content is amazing, covers both theory and practice.",positive,none,none,none,none,course content amazing cover theory practice,True,False,False,False,False
The syllabus is outdated and not useful for placements.,negative,none,none,none,none,syllabus outdated useful placement,True,False,False,False,True
Topics covered in class are irrelevant and poorly chosen.,negative,none,none,none,none,topic covered class irrelevant poorly chosen,True,True,False,False,False
The course content is too basic and lacks depth.,negative,none,none,none,none,course content basic lack depth,True,False,False,False,False
Curriculum does not match current industry requirements.,negative,none,none,none,none,curriculum match current industry requirement,True,False,False,False,False
The subjects taught are boring and of no practical use.,negative,none,none,none,none,subject taught boring practical use,True,True,False,False,False
The professor explains concepts very clearly and patiently.,none,positive,none,none,none,professor explains concept clearly patiently,False,True,False,False,False
Faculty is very knowledgeable and always willing to help.,none,positive,none,none,none,faculty knowledgeable always willing help,False,True,False,False,False
"Teaching is excellent, the instructor makes every class engaging.",none,positive,none,none,none,teaching excellent instructor make every class engaging,False,True,False,False,False
The teacher is very approachable and gives great feedback.,none,positive,none,none,none,teacher approachable give great feedback,False,True,False,False,False
Lectures are interactive and the professor is very supportive.,none,positive,none,none,none,lecture interactive professor supportive,False,True,False,False,False
The professor rushes through topics without explanation.,none,negative,none,none,none,professor rush topic without explanation,True,True,False,False,False
Faculty is unapproachable and does not respond to queries.,none,negative,none,none,none,faculty unapproachable respond query,False,True,False,False,False
"Teaching quality is very poor, instructor just reads slides.",none,negative,none,none,none,teaching quality poor instructor read slide,False,True,False,False,False
The teacher is not prepared for class and wastes our time.,none,negative,none,none,none,teacher prepared class waste time,False,True,False,False,False
Lectures are boring and the professor shows no interest in students.,none,negative,none,none,none,lecture boring professor show interest student,False,True,False,False,False
Exams are fair and test actual understanding of concepts.,none,none,positive,none,none,exam fair test actual understanding concept,False,False,True,False,False
Assignments are challenging but very useful for learning.,none,none,positive,none,none,assignment challenging useful learning,False,False,True,False,False
The grading system is transparent and fair.,none,none,positive,none,none,grading system transparent fair,False,False,True,False,False
Quizzes help reinforce what we learn in class.,none,none,positive,none,none,quiz help reinforce learn class,False,True,True,False,False
The evaluation is balanced between theory and practical work.,none,none,positive,none,none,evaluation balanced theory practical work,True,False,True,False,False
Exams are extremely difficult and not aligned with what is taught.,none,none,negative,none,none,exam extremely difficult aligned taught,False,True,True,False,False
Too many assignments with unrealistic deadlines.,none,none,negative,none,none,many assignment unrealistic deadline,False,False,True,False,False
Grading is very strict and subjective.,none,none,negative,none,none,grading strict subjective,True,False,True,False,False
"The exam paper was out of syllabus, very unfair.",none,none,negative,none,none,exam paper syllabus unfair,True,False,True,False,True
Assessment methods are outdated and do not test real skills.,none,none,negative,none,none,assessment method outdated test real skill,False,False,True,False,False
The library has excellent books and journals for reference.,none,none,none,positive,none,library excellent book journal reference,False,False,False,True,False
